Year,Normal[1],A[2],N[3],A & N[4],MCI & A & N[5],MCI & N[6],Early AD[7],Late AD[8],Total Incidence,Incidence from State 5
2021,151.47,23.67,9.05,18.01,1.92,0.73,2.24,1.67,0.59,0.52
2022,152.85,24.02,9.24,18.51,1.97,0.75,2.29,1.7,0.6,0.54
2023,154.11,24.36,9.43,19.01,2.03,0.76,2.34,1.74,0.62,0.56
2024,155.28,24.69,9.63,19.53,2.09,0.78,2.4,1.78,0.64,0.57
2025,156.36,25,9.82,20.05,2.16,0.8,2.47,1.82,0.66,0.59
2026,157.34,25.29,10.01,20.58,2.24,0.82,2.54,1.86,0.68,0.61
2027,158.28,25.56,10.19,21.11,2.32,0.84,2.62,1.91,0.71,0.64
2028,159.2,25.81,10.37,21.63,2.4,0.86,2.71,1.97,0.73,0.66
2029,160.11,26.04,10.54,22.15,2.49,0.88,2.8,2.03,0.76,0.68
2030,161.07,26.25,10.7,22.65,2.59,0.9,2.9,2.1,0.79,0.71
2031,161.97,26.44,10.85,23.14,2.69,0.92,3,2.17,0.81,0.73
2032,162.77,26.62,11,23.6,2.78,0.94,3.11,2.24,0.84,0.76
2033,163.58,26.78,11.13,24.05,2.89,0.95,3.22,2.32,0.87,0.79
2034,164.42,26.92,11.25,24.47,2.99,0.97,3.34,2.4,0.9,0.82
2035,165.26,27.06,11.37,24.86,3.09,0.99,3.45,2.49,0.93,0.84
2036,166.11,27.19,11.47,25.22,3.19,1,3.57,2.57,0.95,0.87
2037,167.01,27.31,11.56,25.55,3.29,1.02,3.69,2.66,0.98,0.89
2038,167.89,27.43,11.65,25.85,3.39,1.03,3.8,2.75,1.01,0.92
2039,168.65,27.55,11.73,26.13,3.48,1.04,3.92,2.84,1.03,0.94
2040,169.42,27.66,11.8,26.38,3.57,1.05,4.03,2.92,1.06,0.97
2041,170.2,27.79,11.87,26.6,3.66,1.06,4.14,3.01,1.08,0.99
2042,170.96,27.91,11.93,26.8,3.74,1.07,4.24,3.1,1.1,1.01
2043,171.72,28.05,11.99,26.98,3.81,1.08,4.34,3.18,1.12,1.03
2044,172.5,28.2,12.05,27.13,3.88,1.09,4.43,3.26,1.14,1.04
2045,173.3,28.36,12.11,27.28,3.95,1.1,4.52,3.33,1.15,1.06
2046,174.12,28.53,12.17,27.41,4,1.11,4.6,3.4,1.17,1.07
2047,174.96,28.71,12.24,27.54,4.06,1.11,4.68,3.47,1.18,1.09
2048,175.81,28.91,12.3,27.66,4.1,1.12,4.75,3.53,1.19,1.1
2049,176.67,29.12,12.38,27.78,4.15,1.13,4.82,3.59,1.2,1.11
2050,177.53,29.34,12.46,27.91,4.18,1.13,4.87,3.64,1.21,1.11
2051,178.39,29.57,12.54,28.05,4.22,1.14,4.93,3.69,1.22,1.12
2052,179.25,29.82,12.63,28.2,4.25,1.15,4.97,3.74,1.23,1.13
2053,180.09,30.07,12.73,28.37,4.27,1.16,5.02,3.78,1.23,1.13
2054,180.91,30.33,12.84,28.56,4.3,1.17,5.06,3.82,1.24,1.14
2055,181.72,30.59,12.95,28.77,4.32,1.17,5.1,3.86,1.25,1.15
2056,182.51,30.86,13.07,29.01,4.34,1.18,5.13,3.89,1.25,1.15
2057,183.28,31.12,13.2,29.27,4.37,1.2,5.17,3.92,1.26,1.16
2058,184.02,31.39,13.33,29.55,4.4,1.21,5.21,3.95,1.27,1.17
2059,184.74,31.65,13.47,29.86,4.43,1.22,5.25,3.98,1.28,1.17
2060,185.44,31.9,13.6,30.18,4.47,1.23,5.29,4.01,1.29,1.18
