Year,Age,Female,Male,Total
1933,0,0.054507,0.068593,0.061667
1933,1,0.008866,0.010039,0.009459
1933,2,0.004025,0.004671,0.004351
1933,3,0.002869,0.003333,0.003104
1933,4,0.00223,0.002537,0.002386
1933,5,0.001852,0.002092,0.001975
1933,6,0.001645,0.001898,0.001774
1933,7,0.001472,0.001744,0.001611
1933,8,0.00132,0.001614,0.001469
1933,9,0.001194,0.00151,0.001354
1933,10,0.001098,0.001436,0.001268
1933,11,0.001058,0.001408,0.001234
1933,12,0.001096,0.001457,0.001278
1933,13,0.001211,0.001584,0.001398
1933,14,0.001392,0.001774,0.001584
1933,15,0.001627,0.002013,0.00182
1933,16,0.001867,0.002254,0.00206
1933,17,0.002099,0.002484,0.002291
1933,18,0.002329,0.002708,0.002518
1933,19,0.00256,0.002932,0.002745
1933,20,0.002789,0.003151,0.002968
1933,21,0.002992,0.003343,0.003166
1933,22,0.003163,0.003501,0.00333
1933,23,0.003298,0.003619,0.003457
1933,24,0.003396,0.003694,0.003543
1933,25,0.003465,0.003735,0.003598
1933,26,0.003532,0.003786,0.003657
1933,27,0.003604,0.003858,0.003729
1933,28,0.003675,0.003952,0.003811
1933,29,0.003743,0.004066,0.003903
1933,30,0.003815,0.004206,0.004008
1933,31,0.003918,0.004385,0.00415
1933,32,0.004064,0.004609,0.004335
1933,33,0.004257,0.004882,0.004568
1933,34,0.004498,0.005202,0.00485
1933,35,0.004757,0.005539,0.005149
1933,36,0.00497,0.005837,0.005406
1933,37,0.005129,0.006093,0.005615
1933,38,0.005252,0.006329,0.005796
1933,39,0.005357,0.006568,0.005972
1933,40,0.005488,0.006855,0.006183
1933,41,0.005709,0.007243,0.006492
1933,42,0.006031,0.007737,0.006905
1933,43,0.006427,0.00831,0.007396
1933,44,0.006885,0.008943,0.007948
1933,45,0.007386,0.009625,0.008547
1933,46,0.007904,0.010329,0.009164
1933,47,0.008438,0.011059,0.009801
1933,48,0.009018,0.011841,0.010487
1933,49,0.009661,0.012689,0.011237
1933,50,0.010354,0.013588,0.012037
1933,51,0.011045,0.014482,0.012834
1933,52,0.011719,0.015357,0.013612
1933,53,0.01237,0.016215,0.01437
1933,54,0.013003,0.017064,0.015115
1933,55,0.013672,0.017975,0.015908
1933,56,0.014546,0.019144,0.016932
1933,57,0.015683,0.020642,0.018253
1933,58,0.0171,0.022491,0.019889
1933,59,0.018817,0.024717,0.021864
1933,60,0.020778,0.027227,0.024103
1933,61,0.022725,0.029643,0.026286
1933,62,0.024595,0.031856,0.028328
1933,63,0.026413,0.033899,0.030256
1933,64,0.02819,0.035787,0.032084
1933,65,0.030048,0.03769,0.033957
1933,66,0.032371,0.040198,0.036365
1933,67,0.035313,0.043549,0.039503
1933,68,0.038938,0.047832,0.043446
1933,69,0.043342,0.053174,0.048306
1933,70,0.048427,0.059406,0.05395
1933,71,0.053537,0.065483,0.059527
1933,72,0.058446,0.071014,0.064733
1933,73,0.063187,0.076026,0.069594
1933,74,0.067515,0.080226,0.07384
1933,75,0.07115,0.083403,0.077223
1933,76,0.077398,0.089717,0.083472
1933,77,0.084651,0.097288,0.090843
1933,78,0.092973,0.106202,0.099409
1933,79,0.102219,0.11639,0.109055
1933,80,0.109071,0.127462,0.117736
1933,81,0.11917,0.139466,0.128628
1933,82,0.129521,0.151866,0.139814
1933,83,0.140168,0.164638,0.151303
1933,84,0.151254,0.177681,0.163131
1933,85,0.162747,0.190778,0.175186
1933,86,0.175539,0.204811,0.188359
1933,87,0.189995,0.220046,0.202976
1933,88,0.205434,0.235905,0.21839
1933,89,0.221018,0.251016,0.233545
1933,90,0.235993,0.263537,0.247275
1933,91,0.249306,0.272149,0.258468
1933,92,0.260946,0.276243,0.266954
1933,93,0.271141,0.275742,0.272918
1933,94,0.27893,0.275514,0.27763
1933,95,0.283035,0.28505,0.283786
1933,96,0.280114,0.293819,0.2851
1933,97,0.269702,0.293261,0.278099
1933,98,0.254442,0.277355,0.262647
1933,99,0.250093,0.275198,0.259134
1933,100,0.337329,0.396464,0.358225
1933,101,0.349018,0.417452,0.37292
1933,102,0.360825,0.438501,0.387729
1933,103,0.372605,0.465373,0.404303
1933,104,0.382898,0.495692,0.420798
1933,105,0.393808,0.526545,0.437883
1933,106,0.407625,0.557859,0.457333
1933,107,0.419395,0.584613,0.474189
1933,108,0.421183,0.641279,0.491156
1933,109,0.427862,0.729327,0.518371
1933,110+,0.533982,1.021311,0.672418
1934,0,0.059665,0.075786,0.067866
1934,1,0.009953,0.011275,0.010622
1934,2,0.00454,0.005157,0.004852
1934,3,0.002979,0.003475,0.00323
1934,4,0.002236,0.002662,0.002451
1934,5,0.001858,0.002192,0.002029
1934,6,0.001667,0.001972,0.001823
1934,7,0.001495,0.001793,0.001647
1934,8,0.001354,0.001655,0.001507
1934,9,0.001235,0.001542,0.00139
1934,10,0.001147,0.001464,0.001307
1934,11,0.001112,0.00144,0.001277
1934,12,0.001136,0.001473,0.001306
1934,13,0.001233,0.001586,0.00141
1934,14,0.0014,0.001778,0.00159
1934,15,0.00162,0.002028,0.001824
1934,16,0.00185,0.002285,0.002068
1934,17,0.002076,0.002534,0.002304
1934,18,0.002296,0.002774,0.002534
1934,19,0.002517,0.00301,0.002762
1934,20,0.002737,0.00324,0.002987
1934,21,0.002933,0.003436,0.003182
1934,22,0.003101,0.003593,0.003344
1934,23,0.003242,0.003708,0.003472
1934,24,0.00335,0.003775,0.00356
1934,25,0.003429,0.003802,0.003613
1934,26,0.0035,0.003843,0.003669
1934,27,0.003571,0.003911,0.003738
1934,28,0.003639,0.004006,0.00382
1934,29,0.003701,0.00413,0.003913
1934,30,0.003762,0.004283,0.00402
1934,31,0.003853,0.00447,0.004159
1934,32,0.003981,0.004694,0.004335
1934,33,0.004151,0.004957,0.004552
1934,34,0.004367,0.005263,0.004814
1934,35,0.004621,0.005604,0.005112
1934,36,0.004863,0.005939,0.005403
1934,37,0.005065,0.00624,0.005656
1934,38,0.005231,0.006512,0.005877
1934,39,0.005378,0.006778,0.006086
1934,40,0.005528,0.007062,0.006306
1934,41,0.005727,0.007411,0.006584
1934,42,0.00601,0.007869,0.006959
1934,43,0.006376,0.008435,0.007431
1934,44,0.006804,0.009082,0.007976
1934,45,0.00728,0.009794,0.008579
1934,46,0.00781,0.01056,0.009236
1934,47,0.008387,0.011376,0.00994
1934,48,0.009019,0.012254,0.010701
1934,49,0.009736,0.01322,0.011548
1934,50,0.010532,0.014267,0.012474
1934,51,0.011311,0.015295,0.013382
1934,52,0.012032,0.016256,0.014228
1934,53,0.012683,0.017137,0.014997
1934,54,0.013258,0.017937,0.015688
1934,55,0.013809,0.01872,0.016357
1934,56,0.014554,0.01973,0.017236
1934,57,0.015587,0.021079,0.018429
1934,58,0.016943,0.022806,0.019972
1934,59,0.01865,0.024944,0.021895
1934,60,0.020668,0.027445,0.024155
1934,61,0.022719,0.029965,0.02644
1934,62,0.024704,0.032359,0.028628
1934,63,0.026628,0.034622,0.03072
1934,64,0.028502,0.036777,0.032732
1934,65,0.030396,0.038922,0.034747
1934,66,0.032662,0.041483,0.037155
1934,67,0.035501,0.044719,0.040185
1934,68,0.039002,0.048749,0.043938
1934,69,0.043257,0.053663,0.048506
1934,70,0.048268,0.059462,0.053891
1934,71,0.053528,0.065563,0.059548
1934,72,0.058737,0.071541,0.065119
1934,73,0.063813,0.077272,0.070502
1934,74,0.068815,0.082884,0.075787
1934,75,0.071635,0.085984,0.078719
1934,76,0.078041,0.093237,0.08551
1934,77,0.085362,0.101435,0.093217
1934,78,0.093793,0.110626,0.101965
1934,79,0.103376,0.120622,0.111684
1934,80,0.110385,0.130257,0.119749
1934,81,0.121216,0.141523,0.130684
1934,82,0.132292,0.153406,0.142021
1934,83,0.143229,0.1655,0.153363
1934,84,0.153801,0.177724,0.164543
1934,85,0.164308,0.190365,0.175849
1934,86,0.176009,0.204097,0.188279
1934,87,0.189624,0.21946,0.202475
1934,88,0.205179,0.236138,0.218322
1934,89,0.221801,0.253302,0.234958
1934,90,0.238895,0.269699,0.251531
1934,91,0.25555,0.283122,0.266661
1934,92,0.270157,0.29202,0.278808
1934,93,0.281578,0.295043,0.286819
1934,94,0.289891,0.293843,0.291413
1934,95,0.293755,0.295144,0.294284
1934,96,0.287866,0.292093,0.289438
1934,97,0.275047,0.28255,0.277754
1934,98,0.263196,0.269399,0.265381
1934,99,0.270155,0.267304,0.269142
1934,100,0.369592,0.417028,0.386375
1934,101,0.386636,0.438166,0.404185
1934,102,0.403824,0.460319,0.422744
1934,103,0.421916,0.481588,0.441643
