"year","total_Age","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Age_12","Age_13","Age_14","Age_15","Age_16","Age_17","Age_18","Age_19","Age_20","Age_21","Age_22","Age_23","Age_24","Age_25","Age_26","Age_27","Age_28","Age_29","Age_30","Age_31","Age_32","Age_33","Age_34","Age_35","Age_36","Age_37","Age_38","Age_39","Age_40","Age_41","Age_42","Age_43","Age_44","Age_45","Age_46","Age_47","Age_48","Age_49","Age_50","Age_51","Age_52","Age_53","Age_54","Age_55","Age_56","Age_57","Age_58","Age_59","Age_60","Age_61","Age_62","Age_63","Age_64","Age_65","Age_66","Age_67","Age_68","Age_69","Age_70","Age_71","Age_72","Age_73","Age_74","Age_75","Age_76","Age_77","Age_78","Age_79","Age_80","Age_81","Age_82","Age_83","Age_84","Age_85","Age_86","Age_87","Age_88","Age_89","Age_90","Age_91","Age_92","Age_93","Age_94","Age_95","Age_96","Age_97","Age_98","Age_99","Age_100","Age_101","Age_102","Age_103","Age_104","Age_105","Age_106","Age_107","Age_108","Age_109"
2014,161748415,1939928,1933019,1941924,1955816,1959463,1960765,2023097,2030676,2013207,2007948,2013208,1999357,1990699,2038164,2065487,2033092,2034973,2044101,2057632,2102178,2146302,2176351,2241234,2294579,2296491,2208572,2162019,2128046,2140957,2165936,2106937,2144748,2149396,2130303,2165138,2041384,2004078,1989912,1931202,1988757,1935588,1972415,2059589,2179934,2199462,2089714,2049025,2058376,2096457,2225392,2276447,2280045,2279410,2313739,2329740,2261793,2253669,2236541,2163714,2148502,2071851,1997755,1922903,1870539,1825793,1777315,1760799,1834277,1359937,1346338,1318379,1352220,1183698,1088408,1031799,970054,934982,866379,831401,802816,723658,704463,676286,647736,624666,565616,532756,487498,435594,394561,342975,289389,245393,200852,157183,114526,90261,63710,46757,33053,12457,10067,8135,6574,5313,4293,3470,2804,2266,1831
2015,163023826,1954084,1948010,1941109,1949129,1962214,1965385,1966403,2028486,2035998,2018484,2013135,2018380,2004515,1996106,2044275,2072975,2042621,2047014,2058921,2075068,2121504,2166661,2197046,2261894,2314905,2316253,2227721,2180232,2145215,2156750,2180113,2119508,2155569,2158857,2138728,2172692,2048571,2010825,1996337,1937186,1993933,1939964,1975798,2062103,2181594,2200447,2090378,2049083,2057900,2095234,2223075,2273290,2276152,2274964,2308564,2323742,2255439,2246651,2228897,2155767,2139811,2062678,1987903,1912339,1858974,1813039,1763268,1745039,1815724,1345279,1330014,1300455,1331510,1163643,1067871,1010002,947133,910160,840660,803792,772979,693655,671747,640996,609641,583225,523428,488221,441946,390203,348754,298726,248068,206687,165982,127313,90723,69837,48087,34373,12648,10221,8260,6675,5394,4359,3523,2847,2301,1859
2016,164304770,1968007,1962265,1956196,1948381,1955580,1968185,1971044,1971882,2033823,2041309,2023749,2018331,2023627,2009975,2002333,2051847,2082584,2054759,2062003,2076496,2094560,2142108,2187466,2217939,2282453,2334875,2335565,2246137,2197530,2161163,2171151,2192715,2130524,2165149,2167390,2146470,2179802,2055429,2017276,2002369,1942569,1998324,1943549,1978489,2064066,2182752,2200967,2090513,2048637,2056926,2093491,2220229,2269606,2271820,2270136,2302936,2317282,2248600,2239197,2220805,2147302,2130418,2052653,1977070,1900731,1846219,1798914,1747771,1727761,1795519,1329242,1312147,1280897,1309008,1141832,1045537,986311,922249,883371,813019,774175,741123,661704,636939,603611,569531,540064,480024,442965,396227,345268,304137,256383,209249,171083,134625,101066,70334,52821,35424,12783,10330,8348,6746,5452,4406,3560,2877,2325,1879
2017,165591056,1981628,1976276,1970531,1963552,1954894,1961598,1973884,1976538,1977298,2039152,2046595,2029005,2023585,2029155,2016247,2010029,2061555,2094807,2069862,2079760,2096150,2115336,2163160,2208461,2238706,2302626,2354390,2354126,2263618,2213568,2175689,2183961,2203759,2140290,2173763,2175228,2153754,2186556,2061990,2023332,2007785,1947159,2001903,1946433,1980630,2065549,2183428,2200930,2090126,2047712,2055460,2091224,2216872,2265513,2267125,2264873,2296847,2310345,2241340,2231299,2212197,2138130,2120157,2041613,1965175,1887917,1832072,1783312,1730737,1708901,1773538,1311663,1292617,1259609,1284565,1118130,1021265,960582,895353,854558,783321,742519,707204,627695,600051,564228,527740,495644,435897,397523,350949,301456,261380,216556,173490,139001,107024,78544,53307,38997,12950,10465,8457,6834,5523,4463,3607,2915,2355,1903
2018,166881411,1994394,1989990,1984618,1977952,1970136,1960969,1967333,1979406,1981968,1982703,2044447,2051866,2034309,2029126,2035488,2024007,2019862,2073898,2110039,2087767,2099615,2117113,2136569,2184395,2229334,2259098,2322335,2373140,2371736,2279814,2228159,2188606,2195176,2213537,2149074,2181661,2182610,2160684,2193001,2068139,2028775,2012399,1950932,2004770,1948763,1982286,2066569,2183564,2200375,2089267,2046285,2053492,2088479,2213114,2261049,2262018,2259149,2290279,2302963,2233647,2222880,2202875,2128095,2108872,2029489,1952036,1873684,1816418,1766145,1712117,1688349,1749584,1292423,1271356,1236443,1258016,1092364,994894,932786,866422,823575,751557,708808,671098,591647,561192,523164,484687,450447,391539,352455,306736,259413,221110,179799,141196,110713,83288,59675,39442,13581,10975,8869,7168,5792,4681,3783,3057,2470,1996
2019,168174250,2006229,2002843,1998417,1992119,1984598,1976269,1966759,1972891,1984856,1987383,1988076,2049736,2057182,2039897,2035494,2043322,2033928,2032365,2089266,2128101,2107797,2120785,2138531,2157990,2205496,2249818,2278998,2341250,2390922,2388060,2294539,2241126,2199929,2205097,2222322,2157124,2189098,2189624,2167305,2199040,2073646,2033409,2016186,1954000,2007079,1950618,1983497,2067068,2183183,2199326,2087913,2044365,2051026,2085355,2209000,2256166,2256464,2252959,2283281,2295147,2225435,2213751,2192673,2117027,2096467,2016085,1937451,1857934,1799183,1747361,1691828,1665929,1723527,1271445,1248210,1211244,1229175,1064367,966369,902863,835283,790408,717704,672906,632816,553643,520646,480833,440833,404962,347503,308407,264262,219752,183879,146563,112669,86338,63373,44268,14068,11369,9187,7424,6000,4849,3918,3166,2559,2068
2020,169467039,2016583,2014769,2011338,2005982,1998821,1990780,1982117,1972358,1978369,1990296,1992755,1993422,2055067,2062790,2046306,2043372,2053324,2046530,2047914,2107498,2148292,2129154,2142414,2160124,2179280,2226200,2269803,2298124,2359196,2407392,2402895,2307622,2252477,2209941,2214009,2230370,2164701,2196181,2196315,2173512,2204441,2078337,2037223,2019257,1956508,2008911,1952043,1984201,2067063,2182324,2197770,2086060,2041966,2048199,2081903,2204480,2250839,2250455,2246344,2275849,2286808,2216521,2203745,2181429,2104851,2082753,2001203,1921310,1840576,1780332,1726881,1669655,1641491,1695235,1248587,1223013,1183826,1197857,1034074,935639,870627,801905,755047,681641,634809,592443,513958,478819,437679,396671,359763,304408,266029,224136,183030,150152,117147,88036,65831,47087,15126,12224,9878,7983,6451,5213,4213,3405,2751,2223
2021,170756812,2024922,2025216,2023332,2018946,2012717,2005018,1996638,1987745,1977855,1983795,1995735,1998158,1998856,2060752,2069292,2054316,2053540,2066146,2062326,2066471,2128023,2169971,2151089,2164359,2181709,2200281,2246507,2289104,2316339,2375891,2422404,2416110,2319079,2262526,2218955,2222185,2237925,2171908,2202915,2202546,2179050,2208978,2082131,2040235,2021680,1958454,2010220,1952879,1984328,2066511,2180876,2195611,2083648,2039142,2044972,2077972,2199419,2244943,2243915,2239196,2267802,2277642,2206621,2192597,2168952,2091294,2067456,1984675,1903497,1821593,1759775,1704551,1645516,1614964,1664550,1223731,1195623,1154051,1164022,1001471,902532,836085,766342,717402,643383,594650,550299,473014,436173,394189,352750,315510,262902,225949,186932,149705,120247,91694,67268,49023,16248,13130,10611,8575,6929,5600,4525,3657,2955,2388
2022,172041918,2031406,2033657,2033871,2031017,2025747,2018977,2010925,2002319,1993304,1983341,1989285,2001172,2003645,2004631,2067317,2077369,2064585,2066484,2082101,2081067,2087238,2149921,2192144,2173253,2186195,2202916,2220807,2266035,2307425,2333238,2391094,2435770,2427693,2329234,2271580,2227243,2229905,2245158,2178804,2209242,2208137,2183772,2212677,2085218,2042701,2023634,1959982,2011040,1953249,1984027,2065494,2178941,2192981,2080891,2036006,2041376,2073641,2193931,2238645,2236964,2231576,2259066,2267615,2195705,2180337,2155153,2076222,2050549,1966481,1884047,1800862,1737287,1680163,1619231,1586121,1631235,1196635,1165828,1121803,1127565,966300,866999,799249,728427,677417,602985,552675,506772,431217,393148,350872,309672,272812,223583,188711,153119,120096,94308,70186,50197,17260,13949,11272,9109,7361,5949,4807,3885,3140,2537
2023,173320105,2036616,2040247,2042399,2041634,2037885,2032070,2024942,2016656,2007934,1998852,1988898,1994791,2006704,2009468,2011286,2075472,2087722,2077651,2082601,2101031,2102026,2109375,2172323,2214530,2195287,2207627,2223637,2240543,2284571,2324443,2348614,2404608,2447485,2437946,2338403,2279932,2235076,2237293,2252099,2185295,2214940,2212920,2187660,2215665,2087766,2044707,2025153,1961039,2011397,1953192,1983301,2064005,2176531,2189993,2077835,2032530,2037387,2068915,2188044,2231950,2229559,2223298,2249470,2256541,2183680,2166760,2139835,2059530,2031950,1946615,1862815,1778174,1712727,1653601,1590634,1554764,1595035,1167146,1133553,1087039,1088213,928520,829083,759965,688136,635194,560749,509285,462315,389015,350263,308344,268059,232304,186998,154815,123015,94362,72341,52471,18079,14610,11807,9541,7711,6231,5035,4069,3288,2658
