"year","total_Age","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Age_12","Age_13","Age_14","Age_15","Age_16","Age_17","Age_18","Age_19","Age_20","Age_21","Age_22","Age_23","Age_24","Age_25","Age_26","Age_27","Age_28","Age_29","Age_30","Age_31","Age_32","Age_33","Age_34","Age_35","Age_36","Age_37","Age_38","Age_39","Age_40","Age_41","Age_42","Age_43","Age_44","Age_45","Age_46","Age_47","Age_48","Age_49","Age_50","Age_51","Age_52","Age_53","Age_54","Age_55","Age_56","Age_57","Age_58","Age_59","Age_60","Age_61","Age_62","Age_63","Age_64","Age_65","Age_66","Age_67","Age_68","Age_69","Age_70","Age_71","Age_72","Age_73","Age_74","Age_75","Age_76","Age_77","Age_78","Age_79","Age_80","Age_81","Age_82","Age_83","Age_84","Age_85","Age_86","Age_87","Age_88","Age_89","Age_90","Age_91","Age_92","Age_93","Age_94","Age_95","Age_96","Age_97","Age_98","Age_99","Age_100","Age_101","Age_102","Age_103","Age_104","Age_105","Age_106","Age_107","Age_108","Age_109"
2014,156999602,2031919,2024845,2030157,2047456,2042466,2042212,2109358,2121977,2105421,2097828,2100616,2084117,2075355,2128156,2164172,2129032,2131656,2139062,2164804,2219859,2270151,2311112,2369229,2402267,2395949,2302130,2246393,2206844,2213366,2223768,2145293,2173827,2168970,2142241,2193355,2048743,2006140,1980169,1923153,1985687,1915813,1938964,2029906,2146087,2182193,2065134,2020074,2015928,2054996,2176702,2208618,2202580,2196310,2218427,2241372,2157478,2140525,2110244,2028068,2007286,1914614,1837717,1764760,1702953,1661323,1609052,1592863,1656881,1210817,1186618,1150601,1172169,1011794,913174,857416,803367,758271,689623,648866,610338,539736,510821,477047,442682,411649,359765,323380,283531,240485,205698,170356,137942,109886,85752,62077,42528,31075,20391,13557,8934,3282,2520,1935,1486,1141,876,673,517,397,305
2015,158345038,2046747,2040151,2033000,2037228,2053442,2047879,2047387,2114512,2127272,2110838,2103268,2105952,2089259,2080625,2134063,2171483,2138962,2144964,2155868,2184297,2240831,2291975,2332842,2390148,2422317,2414563,2319848,2262783,2222366,2227623,2236783,2157209,2183917,2178099,2150363,2200292,2055390,2011884,1985353,1927882,1989318,1918663,1940470,2030503,2145667,2180807,2063390,2017276,2012270,2049902,2169796,2200330,2193093,2185808,2206438,2227815,2143289,2125085,2093652,2010808,1988880,1895977,1818545,1745109,1682504,1639587,1586268,1568257,1628888,1188986,1163190,1125830,1144422,985614,887197,830531,775650,729341,660522,618481,578660,508706,478238,443280,407810,375562,324770,288567,249808,209001,176078,143459,114115,89158,68164,48296,32336,23072,14756,9568,3451,2650,2035,1563,1200,922,708,543,417,320
2016,159690758,2061349,2055081,2048389,2040053,2043259,2058782,2053077,2052599,2119863,2132699,2116302,2108667,2111279,2094640,2086621,2141608,2181493,2152469,2162006,2175616,2205652,2262888,2314048,2354174,2410388,2441391,2432272,2336607,2278377,2237049,2240940,2248606,2167763,2192847,2186454,2157899,2206606,2061348,2017105,1990021,1931863,1991987,1920551,1941267,2030547,2144639,2178724,2060763,2013499,2007650,2043895,2161955,2191142,2182713,2174311,2193576,2213318,2128169,2108656,2076129,1992698,1969702,1876517,1798523,1724549,1660917,1616565,1562099,1542156,1599253,1165813,1138366,1099539,1114955,957786,859642,802064,746311,698790,629866,586616,545593,476501,444586,408615,372322,339267,290055,254506,217296,179105,148433,118820,92746,70983,53102,36785,24049,16727,10431,3616,2776,2132,1637,1257,966,741,569,437,336
2017,161034735,2075603,2069787,2063401,2055517,2046061,2048634,2063893,2058301,2058013,2125335,2138168,2121714,2114033,2116804,2100731,2094257,2151856,2195116,2169738,2182024,2197203,2228094,2285162,2335679,2374823,2429594,2459466,2448952,2352429,2293084,2250695,2253014,2259046,2177035,2201001,2194108,2164709,2212231,2066702,2021733,1993935,1934846,1993654,1921698,1941506,2030002,2142871,2175760,2057126,2008794,2002094,2036951,2153196,2181060,2171381,2161925,2179763,2197870,2112079,2091291,2057714,1973813,1949700,1856156,1777569,1702823,1638014,1592120,1536427,1514493,1567870,1141243,1112024,1071578,1083644,928251,830444,771933,715318,666582,597682,553332,511259,443217,410021,373305,336572,303213,256034,221606,186381,151157,123075,96692,73963,55397,40496,27398,17470,11848,3837,2946,2263,1737,1334,1025,787,604,464,356
2018,162375054,2088981,2084142,2078198,2070598,2061576,2051402,2053784,2069048,2063728,2063546,2130844,2143581,2127064,2119589,2123040,2108461,2104612,2165740,2212523,2189993,2203897,2219856,2250720,2306978,2356560,2394416,2447767,2476442,2464687,2367300,2306762,2262965,2263665,2268209,2185468,2208488,2200975,2170766,2217292,2071432,2025577,1996845,1936829,1994540,1922264,1941197,2028735,2140168,2171768,2052525,2003223,1995611,2029137,2143555,2170038,2159190,2148605,2165010,2181426,2095040,2073047,2038484,1954090,1928748,1834792,1755402,1679716,1613653,1566165,1509182,1485176,1534635,1115145,1083974,1041823,1050428,896958,799515,740077,682619,632766,564027,518740,475752,409000,374794,337712,301040,267857,223160,190296,157454,125491,100259,77214,57819,42326,30204,19940,12397,4198,3224,2476,1901,1460,1121,861,661,508,390
2019,163709736,2101377,2097626,2092638,2085470,2076718,2066960,2056510,2058962,2074400,2069263,2069112,2136289,2148948,2132584,2125843,2130903,2118949,2118641,2183437,2232939,2212099,2226832,2242712,2272868,2328041,2376333,2412953,2464814,2492384,2479464,2381073,2319038,2273734,2272987,2276489,2193163,2215215,2207068,2176158,2221733,2075345,2028409,1998761,1938005,1994835,1922231,1940219,2026548,2136449,2166808,2047021,1996752,1988270,2020462,2132988,2158147,2146072,2134342,2149275,2164018,2077127,2054016,2018413,1933440,1906769,1812178,1731825,1655094,1587754,1538623,1480270,1454099,1499393,1087360,1054130,1010233,1015244,863789,766801,706466,648240,597383,529026,482957,439234,374108,339267,302289,266168,233665,191819,160945,130853,102366,80153,60441,44255,31624,22004,14171,4513,3466,2661,2044,1569,1205,926,711,546,419
2020,165036419,2112227,2110124,2106208,2099971,2091645,2082151,2072106,2061655,2064352,2079870,2074865,2074610,2141681,2154506,2138823,2133750,2141545,2133148,2136548,2204170,2255238,2235286,2249956,2265079,2294255,2347975,2395006,2430306,2480809,2507296,2493127,2393397,2329773,2283168,2281420,2284025,2200068,2221154,2212514,2180874,2225360,2078234,2030233,1999892,1938571,1994547,1921478,1938366,2023363,2131770,2160937,2040602,1989457,1980083,2010893,2121564,2145331,2132021,2119110,2132596,2145722,2058424,2034136,1997379,1911761,1883480,1788094,1706708,1628871,1560232,1509382,1449616,1421092,1461926,1057750,1022425,976733,977962,828704,732256,671105,612234,560560,492781,446125,401983,338889,303894,267502,232394,201048,162418,133916,106861,81954,62820,46324,33131,23091,15648,4998,3838,2947,2263,1738,1335,1025,787,604,464
2021,166352156,2120981,2121053,2118758,2113581,2106181,2097110,2087312,2077259,2066977,2069828,2085457,2080466,2080135,2147363,2160918,2146891,2144619,2156112,2151465,2157798,2227062,2278919,2258943,2272855,2286911,2314736,2366995,2412652,2446709,2495890,2521139,2505398,2404202,2339166,2291690,2289051,2290742,2206130,2226391,2217221,2184690,2227858,2080039,2031215,2000344,1938465,1993485,1919752,1935456,2019119,2126073,2154006,2033211,1981205,1970869,2000356,2109066,2131395,2116817,2102774,2114833,2126437,2038679,2013144,1975140,1888662,1858571,1762321,1679862,1600964,1531014,1478380,1417053,1385985,1422125,1026285,988807,941209,938522,791652,695893,634061,574739,522398,455463,408515,364379,303794,269126,233771,200143,170402,135304,109499,85651,64325,48207,34724,24232,16459,5539,4254,3266,2508,1926,1479,1136,872,670,514
2022,167656161,2127784,2129930,2129786,2126213,2119853,2111698,2102331,2092516,2082636,2072430,2075482,2091040,2086030,2085892,2153821,2169073,2157856,2159319,2174641,2172912,2180979,2251093,2302829,2282093,2294952,2307601,2334047,2384808,2429214,2462043,2509804,2533474,2516125,2413616,2347652,2299443,2295907,2296709,2211592,2231005,2221108,2187495,2229386,2081052,2031615,2000211,1937697,1991573,1917099,1931669,2014028,2119494,2146218,2025005,1972129,1960859,1988961,2095639,2116521,2100740,2085587,2096289,2106294,2017986,1991099,1951586,1864074,1832046,1734887,1651385,1571338,1499994,1445445,1382403,1348638,1379886,992888,953150,903598,896864,752625,657764,595473,535868,483086,417347,370528,326882,269265,235384,201536,169805,142110,110773,87882,67301,49437,36179,25431,17308,6001,4608,3539,2717,2087,1602,1231,945,726,557
2023,168947197,2133240,2136846,2138757,2137324,2132556,2125435,2116979,2107587,2097939,2088120,2078123,2081121,2096636,2091846,2092449,2162055,2180126,2172683,2178019,2196314,2196306,2205284,2275317,2326243,2304433,2315864,2327139,2352132,2401565,2444715,2476216,2522285,2544295,2525508,2422154,2355394,2306402,2302033,2302111,2216462,2234896,2223977,2189322,2230170,2081491,2031489,1999400,1936113,1988742,1913575,1927090,2008106,2112082,2137585,2015952,1962279,1950013,1976705,2081323,2100785,2083850,2067650,2076900,2085177,1996222,1967735,1926488,1837870,1803800,1705768,1621126,1539851,1466980,1410407,1345522,1308989,1335117,957430,915378,863836,852967,711686,618037,555476,495824,442907,378798,332626,289941,235723,203095,171171,141757,116484,89022,69146,51785,37158,26530,18186,6416,4927,3783,2905,2231,1713,1316,1010,776,596
