"","x"
"1",0.998907164462332
"2",0.998698800666989
"3",0.99845410046061
"4",0.998166419101986
"5",0.997827828748902
"6",0.997429141652254
"7",0.996959157722372
"8",0.99640409397099
"9",0.995748054251462
"10",0.994970858574713
"11",0.994051676967256
"12",0.992959539026775
"13",0.991665468523176
"14",0.990126339501544
"15",0.98829621239486
"16",0.986121149027048
"17",0.98353493361199
"18",0.980458629581674
"19",0.976808548545789
"20",0.972471213526867
"21",0.967337768481616
"22",0.961264879138017
"23",0.954112891026249
"24",0.945720686979504
"25",0.935890311377947
"26",0.924447035092882
"27",0.911214227917194
"28",0.895979546146521
"29",0.878538744780567
"30",0.858692817501936
"31",0.836379405138208
"32",0.811387510627102
"33",0.783601724026253
"34",0.752942002589016
"35",0.71946446694124
"36",0.683164364278401
"37",0.643949655047117
"38",0.602436273604406
"39",0.558581254607661
"40",0.512794592049962
"41",0.466015619432027
"42",0.417738141252503
"43",0.369696672135835
"44",0.322289410048425
"45",0.27605031507644
"46",0.231443836277032
